feature,mean_shap,importance,correlation,direction,proposed_strategy,from_value,to_value,rank
womens,-0.002043482476138768,0.02736838255093701,0.9794254089488252,Positive,Modify womens from 0.0 to 1.0,0.0,1.0,1
newbie,-0.0004701014880006745,0.005711804772873589,0.9340239085251998,Positive,Modify newbie from 0.0 to 1.0,0.0,1.0,2
channel_Phone,7.019250016392663e-05,0.0013424326821842674,0.838844431286162,Positive,Modify channel_Phone from 0.0 to 1.0,0.0,1.0,3
zip_code_Surburban,0.0001491190819797794,0.00215770482387709,0.8150457625467181,Positive,Modify zip_code_Surburban from 0.0 to 1.0,0.0,1.0,4
channel_Multichannel,-4.569363762559995e-05,0.00028460152374820653,0.7715986589256136,Positive,Modify channel_Multichannel from 0.0 to 1.0,0.0,1.0,5
recency,-0.0003203444416258047,0.00398941055202194,0.5829332752076308,Positive,Increase recency by 9.00 for values below 2.00,1.0,10.0,6
history_segment,-3.6026452646592744e-05,0.00079773162475118,0.3105977967418508,Positive,Modify history_segment from 50.0 to 1000.0,50.0,1000.0,7
mens,-0.0009648907602673752,0.004410921678519904,-0.46941723436190097,Negative,Modify mens from 1.0 to 0.0,1.0,0.0,8
channel_Web,0.0002026231012124137,0.0014741856360911945,-0.533299699318248,Negative,Modify channel_Web from 1.0 to 0.0,1.0,0.0,9
zip_code_Urban,-5.037425173182478e-05,0.0012942408564722149,-0.6726313395065131,Negative,Modify zip_code_Urban from 1.0 to 0.0,1.0,0.0,10
history,0.00027478385256090557,0.006425108845665462,-0.7929068168201163,Negative,Decrease history by 507.92 for values above 385.79,537.911,29.99,11
zip_code_Rural,0.0004168685465860015,0.0030539723147349563,-0.8485273108175602,Negative,Modify zip_code_Rural from 1.0 to 0.0,1.0,0.0,12
